Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name
https://github.com/davestephens/ansible-nas/blob/master/roles/heimdall/tasks/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Start Heimdall,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Create Heimdall group,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create Heimdall user,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create Heimdall Directories,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create Heimdall container,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Stop Heimdall,,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,Stop Heimdall,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/ansible/ansible-lint/blob/main/examples/playbooks/rule-partial-become-without-become-pass.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,play1,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,play2,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,play3,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,play4,,#,#,#,#,#,#,#,#,#,#,0,1,0,0
,,,#,#,#,#,#,#,#,#,#,#,#,0,0,0
https://github.com/devopsschool-demo-labs-projects/tesco-git-ansible-nov-2019/blob/master/murthy/drpidx.yaml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
https://github.com/HCL-TECH-SOFTWARE/connections-automation/blob/main/roles/hcl/docs/register-docs-in-news/tasks/main.yml,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#
,Verify if Profile already exists,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Verify if pid file,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Generate Response file,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,Register Docs in CNX News,,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/freeipa/ansible-freeipa/blob/master/playbooks/sudorule/ensure-sudorule-host-member-is-absent.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,play1,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,Ensure host 'server' is absent in sudorule,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/linux-system-roles/network/blob/main/tests/tasks/provider/default_with_nm.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,play1,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,Ensure host 'server' is absent in sudorule,0,0,0,#,#,#,#,#,#,#,#,#,0,0
https://github.com/Juniper/contrail-ansible/blob/master/kolla-ansible/ansible/roles/sahara/handlers/main.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,play1,,#,#,#,#,#,#,#,#,#,#,0,1,#,#
,,Restart sahara-api container,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Restart sahara-engine container,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/geerlingguy/ansible-role-php-xhprof/blob/master/molecule/default/converge.yml,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Converge,,#,#,#,#,#,#,#,#,#,#,#,#,#,#
,,Update apt cache,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Run test script to confirm XHProf is working,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/sodafoundation/installer/blob/master/ansible/roles/osdsdock/scenarios/ceph.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,ceph pre-flight check,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check the installed ceph version,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if the installed ceph is healthy or not,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set_fact ceph_health,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"paranoia check for ""/etc/ceph/ceph.conf"" and its consistency",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check ceph cluster member status,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,set_fact ceph_cluster_health_status,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if the existing ceph is the required version or not,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,set_fact ceph_version_check,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if downgrade of the existing ceph required,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install notario package with pip when ceph backend enabled,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,configure opensds global info osdsdock ceph,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,copy opensds ceph backend file to ceph config file if specify ceph backend,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,incorrect - older/newer - version ceph is running properly,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"ceph cluster member health check, especially osds are up or not",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,uninstall ceph on upgrade/downgrade installation,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install ceph,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,wait until ceph stabilizes,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create specified pools and initialize them with default pool size,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,wait until defined ceph pooll are visible,#,#,#,#,#,#,#,#,#,#,#,#,0,0
https://github.com/starlingx/ansible-playbooks/blob/master/playbookconfig/src/playbooks/roles/update-subcloud/prepare-env/tasks/main.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,,Get subcloud active controller,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set subcloud floating address fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Retrieve software version number,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if software version is not defined,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Retrieve system mode,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if system mode is not defined,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"Set host software version, system mode",#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set config path fact,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get target subcloud network,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set the target network name variable,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Get ifname of the existing subcloud network of controller-0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Fail if subcloud network interface of controller-0 is not assigned,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Set sc_if_c0 fact,#,#,#,#,#,#,#,#,#,1,#,#,0,0
,,Get ifname of the existing subcloud network of controller-1,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Fail if subcloud network interface of controller-1 is not assigned,#,#,#,#,#,#,#,#,#,#,#,#,0,1
